isodate,cdoc,dir_location
1943-03-06,633474749201031982,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474749201031982/
1944-06-09,633474761213593543,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474761213593543/
1878-03-06,633474673367099215,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474673367099215/
1940-09-30,633474675336079184,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474675336079184/
1941-12-10,633474717809368738,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474717809368738/
1943-08-03,633474754005844582,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474754005844582/
1941-04-05,633474711546550604,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474711546550604/
1941-05-16,633474713332676152,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474713332676152/
1941-11-15,633474716816574254,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474716816574254/
1944-08-25,633474761671124437,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474761671124437/
1941-05-05,633474712855560876,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474712855560876/
1943-01-08,633474745798354463,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474745798354463/
1940-10-10,633474675793076615,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474675793076615/
1941-11-08,633474716501401590,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474716501401590/
1942-02-27,633474728825905426,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474728825905426/
1943-03-09,633474749350575937,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474749350575937/
1943-02-22,633474748392342700,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474748392342700/
1878-05-07,633474674158377428,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474674158377428/
1940-11-07,633474677004465434,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474677004465434/
1941-09-23,633474714468024546,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474714468024546/
1944-03-23,633474760108127794,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474760108127794/
1943-07-29,633474753934735486,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474753934735486/
1942-10-14,633474737976902027,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474737976902027/
1942-10-29,633474739237760887,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474739237760887/
1941-12-02,633474717423966526,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474717423966526/
1943-03-26,633474750454312179,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474750454312179/
1943-02-03,633474747152643550,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474747152643550/
1940-10-17,633474676097852354,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474676097852354/
1943-01-09,633474745876319463,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474745876319463/
1941-01-25,633474709089629536,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474709089629536/
1941-01-29,633474709261053536,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474709261053536/
1943-07-24,633474753852554579,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474753852554579/
1941-11-19,633474716978252686,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474716978252686/
1878-02-27,633474673282820130,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474673282820130/
1878-04-17,633474673990134320,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474673990134320/
1942-08-15,633474734767787154,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474734767787154/
1945-12-07,633474770734727239,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474770734727239/
1942-10-07,633474737388864885,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474737388864885/
1942-03-13,633474729387121276,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474729387121276/
1942-10-10,633474737708677293,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474737708677293/
1878-06-18,633474674722968532,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474674722968532/
1941-03-05,633474710839676436,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474710839676436/
1946-04-16,633474773493947293,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474773493947293/
1940-10-16,633474676036565059,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474676036565059/
1942-01-22,633474727375409476,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474727375409476/
1941-03-07,633474710960400312,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474710960400312/
1942-04-20,633474730183826476,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474730183826476/
1946-06-07,633474774912386629,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474774912386629/
1943-03-05,633474749124622852,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474749124622852/
1941-06-02,633474714082848082,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474714082848082/
1878-04-12,633474673936573780,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474673936573780/
1941-04-19,633474712130985182,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474712130985182/
1943-04-03,633474750935228055,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474750935228055/
1942-10-13,633474737903183085,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474737903183085/
1941-12-12,633474717922667326,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474717922667326/
1940-11-02,633474676831732444,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474676831732444/
1944-03-14,633474759944701626,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474759944701626/
1940-10-23,633474676348957844,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474676348957844/
1944-04-04,633474760295724817,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474760295724817/
1943-02-02,633474747078417538,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474747078417538/
1940-10-21,633474676252402924,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474676252402924/
1944-03-07,633474759838349864,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474759838349864/
1942-05-14,633474731143700401,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474731143700401/
